2011-05-09 18:06:18 - INFO --> 09-05-2011 11:06:18 AM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 18:06:24 - INFO --> 09-05-2011 11:06:24 AM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 18:06:26 - INFO --> 09-05-2011 11:06:26 AM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 18:06:28 - INFO --> 09-05-2011 11:06:28 AM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 18:21:18 - INFO --> 09-05-2011 11:21:18 AM, 127.0.0.1, ForumBoxType, getAll,  
2011-05-09 18:22:14 - INFO --> 09-05-2011 11:22:14 AM, 127.0.0.1, ForumBoxType, getAll,  
2011-05-09 18:22:31 - INFO --> 09-05-2011 11:22:31 AM, 127.0.0.1, ForumBoxType, getAll,  
2011-05-09 18:23:33 - INFO --> 09-05-2011 11:23:33 AM, 127.0.0.1, SiteForumVbb, getAll, anhtuan 
2011-05-09 18:23:45 - INFO --> 09-05-2011 11:23:45 AM, 127.0.0.1, ForumBoxType, getAll, anhtuan 
2011-05-09 18:25:01 - INFO --> 09-05-2011 11:25:01 AM, 127.0.0.1, ForumBoxType, getAll,  
2011-05-09 18:25:58 - INFO --> 09-05-2011 11:25:58 AM, 127.0.0.1, ForumBoxType, getAll,  
2011-05-09 18:26:17 - INFO --> 09-05-2011 11:26:17 AM, 127.0.0.1, ForumBoxType, getAll, anhtuan 
2011-05-09 18:27:11 - INFO --> 09-05-2011 11:27:11 AM, 127.0.0.1, SiteForumVbb, getAll, anhtuan 
2011-05-09 18:29:06 - INFO --> 09-05-2011 11:29:06 AM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 18:29:10 - INFO --> 09-05-2011 11:29:10 AM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 18:29:11 - INFO --> 09-05-2011 11:29:11 AM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 18:29:12 - INFO --> 09-05-2011 11:29:12 AM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 18:29:17 - INFO --> 09-05-2011 11:29:17 AM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 18:30:39 - INFO --> 09-05-2011 11:30:39 AM, 127.0.0.1, SiteForumVbb, getAll, anhtuan 
2011-05-09 23:40:07 - INFO --> 09-05-2011 16:40:07 PM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 23:40:08 - INFO --> 09-05-2011 16:40:08 PM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 23:40:09 - INFO --> 09-05-2011 16:40:09 PM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 23:40:10 - INFO --> 09-05-2011 16:40:10 PM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 23:40:12 - INFO --> 09-05-2011 16:40:12 PM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 23:40:13 - INFO --> 09-05-2011 16:40:13 PM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 23:40:14 - INFO --> 09-05-2011 16:40:14 PM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 23:40:15 - INFO --> 09-05-2011 16:40:15 PM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 23:40:17 - INFO --> 09-05-2011 16:40:17 PM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 23:40:18 - INFO --> 09-05-2011 16:40:18 PM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 23:40:19 - INFO --> 09-05-2011 16:40:19 PM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 23:40:20 - INFO --> 09-05-2011 16:40:20 PM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 23:40:21 - INFO --> 09-05-2011 16:40:21 PM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 23:40:22 - INFO --> 09-05-2011 16:40:22 PM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 23:40:24 - INFO --> 09-05-2011 16:40:24 PM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 23:40:25 - INFO --> 09-05-2011 16:40:25 PM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 23:40:26 - INFO --> 09-05-2011 16:40:26 PM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 23:40:27 - INFO --> 09-05-2011 16:40:27 PM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 23:40:28 - INFO --> 09-05-2011 16:40:28 PM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 23:40:29 - INFO --> 09-05-2011 16:40:29 PM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 23:40:31 - INFO --> 09-05-2011 16:40:31 PM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 23:40:32 - INFO --> 09-05-2011 16:40:32 PM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 23:40:33 - INFO --> 09-05-2011 16:40:33 PM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 23:40:34 - INFO --> 09-05-2011 16:40:34 PM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 23:40:35 - INFO --> 09-05-2011 16:40:35 PM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 23:40:36 - INFO --> 09-05-2011 16:40:36 PM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 23:40:37 - INFO --> 09-05-2011 16:40:37 PM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 23:40:39 - INFO --> 09-05-2011 16:40:39 PM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 23:40:40 - INFO --> 09-05-2011 16:40:40 PM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 23:40:41 - INFO --> 09-05-2011 16:40:41 PM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 23:40:42 - INFO --> 09-05-2011 16:40:42 PM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 23:40:43 - INFO --> 09-05-2011 16:40:43 PM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 23:40:44 - INFO --> 09-05-2011 16:40:44 PM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 23:40:45 - INFO --> 09-05-2011 16:40:45 PM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 23:40:47 - INFO --> 09-05-2011 16:40:47 PM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 23:40:48 - INFO --> 09-05-2011 16:40:48 PM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 23:40:49 - INFO --> 09-05-2011 16:40:49 PM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 23:40:50 - INFO --> 09-05-2011 16:40:50 PM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 23:40:51 - INFO --> 09-05-2011 16:40:51 PM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 23:40:52 - INFO --> 09-05-2011 16:40:52 PM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 23:40:53 - INFO --> 09-05-2011 16:40:53 PM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 23:40:54 - INFO --> 09-05-2011 16:40:54 PM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 23:40:56 - INFO --> 09-05-2011 16:40:56 PM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 23:40:57 - INFO --> 09-05-2011 16:40:57 PM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 23:40:58 - INFO --> 09-05-2011 16:40:58 PM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 23:40:59 - INFO --> 09-05-2011 16:40:59 PM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 23:41:00 - INFO --> 09-05-2011 16:41:00 PM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 23:41:01 - INFO --> 09-05-2011 16:41:01 PM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 23:41:02 - INFO --> 09-05-2011 16:41:02 PM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 23:41:03 - INFO --> 09-05-2011 16:41:03 PM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 23:41:04 - INFO --> 09-05-2011 16:41:04 PM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 23:41:05 - INFO --> 09-05-2011 16:41:05 PM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 23:41:07 - INFO --> 09-05-2011 16:41:07 PM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 23:41:08 - INFO --> 09-05-2011 16:41:08 PM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 23:41:09 - INFO --> 09-05-2011 16:41:09 PM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 23:41:10 - INFO --> 09-05-2011 16:41:10 PM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 23:41:11 - INFO --> 09-05-2011 16:41:11 PM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 23:41:12 - INFO --> 09-05-2011 16:41:12 PM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 23:41:13 - INFO --> 09-05-2011 16:41:13 PM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 23:41:15 - INFO --> 09-05-2011 16:41:15 PM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 23:41:16 - INFO --> 09-05-2011 16:41:16 PM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 23:41:17 - INFO --> 09-05-2011 16:41:17 PM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 23:41:18 - INFO --> 09-05-2011 16:41:18 PM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 23:41:19 - INFO --> 09-05-2011 16:41:19 PM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 23:41:20 - INFO --> 09-05-2011 16:41:20 PM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 23:41:21 - INFO --> 09-05-2011 16:41:21 PM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 23:41:22 - INFO --> 09-05-2011 16:41:22 PM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 23:41:23 - INFO --> 09-05-2011 16:41:23 PM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 23:41:24 - INFO --> 09-05-2011 16:41:24 PM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 23:41:26 - INFO --> 09-05-2011 16:41:26 PM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 23:41:27 - INFO --> 09-05-2011 16:41:27 PM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 23:41:28 - INFO --> 09-05-2011 16:41:28 PM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 23:41:29 - INFO --> 09-05-2011 16:41:29 PM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 23:41:30 - INFO --> 09-05-2011 16:41:30 PM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 23:41:31 - INFO --> 09-05-2011 16:41:31 PM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 23:41:32 - INFO --> 09-05-2011 16:41:32 PM, 127.0.0.1, SiteForumVbb, insert,  
